-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 03/01/2022 through 03/01/2023 
Location: Latitude  50.9418   Longitude 6.9323 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 125.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2MDEW        MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET        MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2022,3,1,2.49,-1.45,0.52,1.98,9.52,8.41,-1.11
2022,3,2,3.55,-1.54,1.0,3.12,11.0,10.4,-0.6
2022,3,3,2.89,-1.92,0.48,2.35,13.42,10.69,-2.74
2022,3,4,2.39,-1.64,0.37,2.17,12.69,9.87,-2.82
2022,3,5,1.52,-2.41,-0.45,1.37,12.08,8.82,-3.26
2022,3,6,0.69,-3.74,-1.52,0.37,10.75,6.83,-3.92
2022,3,7,0.14,-3.7,-1.78,-0.06,10.4,6.15,-4.25
2022,3,8,2.08,-2.6,-0.26,1.62,11.62,8.87,-2.75
2022,3,9,3.72,-2.03,0.84,3.04,13.99,11.8,-2.19
2022,3,10,5.65,-0.06,2.8,4.94,14.47,13.73,-0.74
2022,3,11,5.87,0.4,3.14,5.54,12.64,12.22,-0.42
2022,3,12,8.07,4.38,6.23,7.9,10.75,14.3,3.55
2022,3,13,8.2,3.67,5.94,7.91,12.59,15.18,2.58
2022,3,14,8.02,5.51,6.76,7.26,6.57,11.62,5.05
2022,3,15,5.75,4.4,5.08,5.07,7.87,9.62,1.75
2022,3,16,7.16,4.55,5.86,7.15,10.92,12.51,1.58
2022,3,17,7.08,4.64,5.86,6.65,9.7,11.06,1.36
2022,3,18,5.53,1.58,3.55,5.02,14.57,12.82,-1.75
2022,3,19,5.64,0.76,3.2,5.45,11.8,12.16,0.37
2022,3,20,5.99,3.02,4.51,5.7,11.7,11.8,0.08
2022,3,21,9.87,6.28,8.08,9.51,13.84,17.13,3.29
2022,3,22,9.28,2.69,5.98,8.45,13.23,16.63,3.4
2022,3,23,10.44,2.36,6.4,8.63,14.98,17.62,2.65
2022,3,24,10.36,2.69,6.52,8.25,11.52,16.73,5.21
2022,3,25,9.31,3.41,6.37,8.33,13.38,16.43,3.05
2022,3,26,9.84,5.67,7.76,9.44,13.63,17.07,3.44
2022,3,27,10.11,7.83,8.97,10.37,11.91,17.06,5.14
2022,3,28,10.98,7.56,9.26,10.69,13.18,18.13,4.95
2022,3,29,9.54,5.87,7.7,9.83,9.88,15.17,5.3
2022,3,30,7.65,3.62,5.63,8.12,8.12,12.26,4.13
2022,3,31,4.66,3.1,3.88,5.03,4.25,6.58,2.33
2022,4,1,0.95,-0.83,0.06,1.08,2.33,2.26,-0.08
2022,4,2,0.71,-2.15,-0.72,0.6,5.43,3.55,-1.88
2022,4,3,1.59,-1.92,-0.17,1.97,9.45,6.32,-3.13
2022,4,4,3.48,1.45,2.47,3.3,6.76,6.36,-0.4
2022,4,5,9.55,7.94,8.75,9.33,6.95,13.01,6.06
2022,4,6,8.9,6.07,7.48,8.67,5.17,11.36,6.19
2022,4,7,9.33,5.2,7.27,9.08,7.19,12.78,5.58
2022,4,8,5.15,2.09,3.62,5.22,5.27,8.05,2.78
2022,4,9,4.65,1.0,2.82,4.58,8.24,8.57,0.33
2022,4,10,4.95,0.33,2.64,4.69,10.55,9.62,-0.93
2022,4,11,8.37,2.04,5.2,8.33,14.0,15.08,1.08
2022,4,12,12.51,7.24,9.88,12.0,13.83,19.29,5.46
2022,4,13,13.87,11.05,12.46,13.94,11.49,19.64,8.14
2022,4,14,13.2,9.9,11.55,13.34,10.26,18.51,8.26
2022,4,15,9.58,6.8,8.19,10.15,8.46,14.02,5.56
2022,4,16,9.19,3.47,6.33,9.39,11.27,15.35,4.07
2022,4,17,8.79,1.9,5.35,8.75,15.09,16.29,1.19
2022,4,18,10.74,2.88,6.81,10.27,15.5,17.87,2.37
2022,4,19,10.98,3.86,7.41,10.3,12.13,17.62,5.49
2022,4,20,10.36,4.39,7.37,10.56,13.57,16.7,3.13
2022,4,21,10.56,5.98,8.27,10.77,11.56,16.4,4.83
2022,4,22,10.96,6.58,8.76,11.2,11.94,16.91,4.98
